Match ID,Map,Time,Killer X,Killer Y,Victim X,Victim Y
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1609,566307.3,267828.0,581870.3,262490.8
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,175,432354.2,552524.8,432617.8,552224.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,986,533994.9,367667.9,534734.3,366406.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,357,367694.3,421260.3,363426.0,420061.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,368,470378.2,363769.2,469077.3,364668.5
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,357,368738.8,417488.9,368821.4,417726.5
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,644,471184.8,359439.6,470963.8,354800.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,642,471265.5,359205.4,471033.0,354114.8
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,411,366106.7,438907.3,366301.9,438846.4
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1518,557525.2,304430.7,551213.4,319105.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,103,369005.9,424291.5,367875.0,424299.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,443,365733.5,440216.9,366082.4,440142.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,654,535224.7,364994.1,534702.3,364259.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,610,534154.8,369219.3,534507.9,365915.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,361,368297.1,421150.7,367489.0,416852.1
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,879,,,0.0,0.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,96,367649.3,421192.5,368288.5,421208.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1966,567049.2,290710.9,564992.1,290137.1
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1560,570506.3,300499.4,562046.8,303647.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,211,367829.1,429801.6,369624.7,434335.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,199,366462.9,423587.8,364521.4,424906.5
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,144,383678.6,444768.1,383871.9,444276.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,103,371549.9,423493.3,371355.5,423288.6
